ChoiceText,QuestionId_FK
Interactive learning,1
Scalability,1
Security,1
Efficiency,1
Interactive learning,2
Scalability,2
Security,2
Efficiency,2
Interactive learning,3
Scalability,3
Security,3
Efficiency,3
Interactive learning,4
Scalability,4
Security,4
Efficiency,4
Interactive learning,5
Scalability,5
Security,5
Efficiency,5
Interactive learning,6
Scalability,6
Security,6
Efficiency,6
Interactive learning,7
Scalability,7
Security,7
Efficiency,7
Interactive learning,8
Scalability,8
Security,8
Efficiency,8
Interactive learning,9
Scalability,9
Security,9
Efficiency,9
Interactive learning,10
Scalability,10
Security,10
Efficiency,10
Interactive learning,11
Scalability,11
Security,11
Efficiency,11
Interactive learning,12
Scalability,12
Security,12
Efficiency,12
Interactive learning,13
Scalability,13
Security,13
Efficiency,13
Interactive learning,14
Scalability,14
Security,14
Efficiency,14
Interactive learning,15
Scalability,15
Security,15
Efficiency,15
Interactive learning,16
Scalability,16
Security,16
Efficiency,16
Interactive learning,17
Scalability,17
Security,17
Efficiency,17
Interactive learning,18
Scalability,18
Security,18
Efficiency,18
Interactive learning,19
Scalability,19
Security,19
Efficiency,19
Interactive learning,20
Scalability,20
Security,20
Efficiency,20
Interactive learning,21
Scalability,21
Security,21
Efficiency,21
Interactive learning,22
Scalability,22
Security,22
Efficiency,22
Interactive learning,23
Scalability,23
Security,23
Efficiency,23
Interactive learning,24
Scalability,24
Security,24
Efficiency,24
Interactive learning,25
Scalability,25
Security,25
Efficiency,25
Interactive learning,26
Scalability,26
Security,26
Efficiency,26
Interactive learning,27
Scalability,27
Security,27
Efficiency,27
Interactive learning,28
Scalability,28
Security,28
Efficiency,28
Interactive learning,29
Scalability,29
Security,29
Efficiency,29
Interactive learning,30
Scalability,30
Security,30
Efficiency,30
