StudentId_FK,QuestionId_FK,ExamId_FK,StudentAnswer
29,18,1000,Scalability
29,25,1000,Scalability
29,13,1000,Scalability
27,17,1001,Scalability
27,30,1001,Scalability
27,16,1001,Scalability
37,24,1002,Scalability
37,9,1002,Scalability
37,16,1002,Scalability
9,2,1003,Scalability
9,13,1003,Scalability
9,15,1003,Scalability
29,19,1004,Scalability
29,13,1004,Scalability
29,27,1004,Scalability
16,29,1005,Scalability
16,2,1005,Scalability
16,4,1005,Scalability
32,5,1006,Scalability
32,25,1006,Scalability
32,16,1006,Scalability
33,9,1007,Scalability
33,18,1007,Scalability
33,30,1007,Scalability
22,13,1008,Scalability
22,25,1008,Scalability
22,28,1008,Scalability
36,11,1009,Scalability
36,25,1009,Scalability
36,1,1009,Scalability
1,3,1010,Scalability
1,11,1010,Scalability
1,15,1010,Scalability
9,9,1011,Scalability
9,30,1011,Scalability
9,23,1011,Scalability
12,13,1012,Scalability
12,4,1012,Scalability
12,22,1012,Scalability
7,4,1013,Scalability
7,14,1013,Scalability
7,27,1013,Scalability
25,29,1014,Scalability
25,30,1014,Scalability
25,9,1014,Scalability
